interactionType,implemented,shortcut,action
activeEditorChange,True,Ctrl+N,create a new File
activeEditorChange,True,Ctrl+O,open File...
activeEditorChange,True,Ctrl+P,quickly open a file by typing its name\n- Then type > to switch the search to the Command Palette (same as Ctrl+Shift+P)\n- Then type # to search for a symbol across the entire workspace\n- Then type @ to search for a symbol within the current file
activeEditorChange,True,Ctrl+\,split editor
activeEditorChange,True,Ctrl+PageUp / Ctrl+PageDown,navigate to the previous / next tab in the editor group
activeEditorChange,True,Ctrl+Tab / Ctrl+Shift+Tab,open next / previous editor in history
activeEditorChange,True,Alt+1 / Alt+2 / ...,"go to the specific editor tab number (1st, 2nd, etc.)"
activeEditorChange,True,Ctrl+1 / Ctrl+2 / Ctrl+3,"focus into 1st, 2nd, or 3rd editor group"
activeEditorChange,True,Ctrl+W,close active editor tab
activeEditorChange,True,Ctrl+K Ctrl+W,close All editors
activeEditorChange,True,Ctrl+K ← / Ctrl+K →,move active editor group
activeEditorChange,True,Ctrl+Shift+PgUp / Ctrl+Shift+PgDn,move active editor left / right
activeEditorChange,True,Ctrl+Shift+T,reopen closed editor
activeEditorChange,True,Shift+Alt+0,toggle editor layout (horizontal/vertical)
activeEditorChange,True,Ctrl+K V,open Markdown preview to the side
activeEditorChange,True,Ctrl+Shift+V,open Markdown preview
activeTerminalChange,True,Ctrl+Shift+`,create new terminal
activeTerminalChange,True,Ctrl+`,make the terminal pop up!
activeTerminalChange,True,Ctrl+↑ / Ctrl+↓,scroll up/down in terminal
debugStart,True,F5,start / continue debugging
debugStart,True,Shift+F5,stop debugging
debugStart,True,F9,toggle breakpoint
debugStart,True,F10,step over (during debugging)
scrollChange,True,PgUp / PgDn,scroll up/down in the editor
selectionChange,True,Fn+← / Fn+→,move your cursor to the beginning / end of the line
selectionChange,True,Shift+Alt+→,expand the selection
textChange,True,Alt+Click,insert cursor at the clicked position
textChange,True,Ctrl+D,add selection to next Find match
textChange,True,Ctrl+F2,select all occurrences of current word
textChange,True,Shift+Alt+↓ / Shift+Alt+↑,copy the current line or selected lines up/down
textChange,True,Ctrl+C then Ctrl+V,copy the line that you are on and then paste it below!
textChange,True,Ctrl+X,cut the entire line when no text is selected
textChange,True,Ctrl+Shift+K,delete the current line without copying it to clipboard
textChange,True,Ctrl+Backspace,delete words or spaces at a time (Ctrl+Z to undo)
textChange,True,Ctrl+/,toggle line comment
tipOfTheDay,True,Ctrl+Z / Ctrl+Shift+Z,undo and redo your changes! You can go back and forth between them infinitely - it's like a time machine for your code!
tipOfTheDay,True,Alt+↑ / Alt+↓,move the current line or selected lines up/down
tipOfTheDay,True,Ctrl+Enter,insert a new line below the current cursor position
tipOfTheDay,True,Ctrl+F,find in the current file
tipOfTheDay,True,Ctrl+Alt+↑ / Ctrl+Alt+↓,insert cursor above / below
tipOfTheDay,True,Ctrl+Shift+P,show the Command Palette and type 'auto save' to turn on automatic saving - never lose your work again!
tipOfTheDay,True,Ctrl+Shift+P,show the Command Palette and type 'color theme' to change your editor's appearance
tipOfTheDay,True,Ctrl+Shift+P,show the Command Palette and type 'format document' to clean up your code
tipOfTheDay,True,Ctrl+Shift+P,show the Command Palette and type 'toggle terminal' to show/hide the terminal
tipOfTheDay,True,Ctrl+Shift+P,show the Command Palette and type 'file icon theme' to change folder/file icons
tipOfTheDay,True,Ctrl+Shift+P,show the Command Palette and type 'reload window' to restart VS Code quickly
tipOfTheDay,True,Ctrl+F then type a repeated word in your file then F3 / Shift+F3,to find the next and previous match of your word
tipOfTheDay,True,Shift+Alt+F,format document
tipOfTheDay,True,Ctrl+Shift+Space,trigger parameter hints
tipOfTheDay,True,Ctrl+Space / Ctrl+I,trigger suggestion (IntelliSense)
tipOfTheDay,True,"Ctrl+,",open Settings to customize VS Code
tipOfTheDay,True,Ctrl+B,show/hide the left sidebar (where you see your files)
tipOfTheDay,True,Ctrl+K Ctrl+S,open Keyboard Shortcuts settings
tipOfTheDay,True,Ctrl+Shift+D,open Debug view (to run and test your code step-by-step)
tipOfTheDay,True,Ctrl+Shift+E,open Explorer view (to see your project files and folders)
tipOfTheDay,True,Ctrl+Shift+F,open Search view (to find text across all files)
tipOfTheDay,True,Ctrl+Shift+G,open Source Control view (to manage Git changes)
tipOfTheDay,True,Ctrl+Shift+H,open Find and Replace across all files
tipOfTheDay,True,Ctrl+Shift+M,open Problems view (to see errors and warnings in your code)
tipOfTheDay,True,Ctrl+Shift+U,open Output view (to see logs and messages from extensions)
tipOfTheDay,True,Ctrl+Shift+X,open Extensions view (to install and manage extensions)
tipOfTheDay,True,Ctrl+K P, copy the absolute path of active file
tipOfTheDay,True,Ctrl+K Ctrl+Shift+C,copy the relative path of active file
windowStateChange,True,Alt+Tab,switch windows (OS-level shortcut)
windowStateChange,True,Ctrl+Shift+N,open a new window/instance
windowStateChange,True,Ctrl+Shift+W,close the current window/instance
windowStateChange,True,F11,toggle full screen
